sentence|card
Greek and Roman agriculturalists of the first century AD gave details of small, large, round, long, mild, and sharp varieties|radish
The radish seems to have been one of the first European crops introduced to the Americas|radish
A German botanist reported radishes of 45 kilograms (100 pounds) and roughly 90 centimetres (3 feet) in length in 1544, although the only variety of that size today is the Japanese Sakurajima radish|radish
The large, mild, and white East Asian form was developed in China, though it is mostly associated in the West with the Japanese daikon, owing to Japanese agricultural development and larger exports.|radish
Radishes are annual or biennial brassicaceous crops grown for their swollen tap roots which can be globular, tapering, or cylindrical|radish
The root skin colour ranges from white through pink, red, purple, yellow, and green to black, but the flesh is usually white|radish
The roots obtain their color from anthocyanins|radish
Red varieties use the anthocyanin pelargonidin as a pigment, and purple cultivars obtain their color from cyanidin|radish
Smaller types have a few leaves about 13 cm (5 in) long with round roots up to 2.5 cm (1 in) in diameter or more slender, long roots up to 7 cm (3 in) long|radish
Both of these are normally eaten raw in salads|radish
A longer root form, including oriental radishes, daikon or mooli, and winter radishes, grows up to 60 cm (24 in) long with foliage about 60 cm (24 in) high with a spread of 45 cm (18 in)|radish
The flesh of radishes harvested timely is crisp and sweet, but becomes bitter and tough if the vegetable is left in the ground too long|radish
Leaves are arranged in a rosette|radish
They have a lyrate shape, meaning they are divided pinnately with an enlarged terminal lobe and smaller lateral lobes|radish
The white flowers are borne on a racemose inflorescence|radish
The fruits are small pods which can be eaten when young.The radish is a diploid species, and has 18 chromosomes (2n=18)|radish
It is estimated that the radish genome contains between 526 and 574 Mb.|radish
Radishes are a fast-growing, annual, cool-season crop|radish
The seed germinates in three to four days in moist conditions with soil temperatures between 18 and 29 °C (65 and 85 °F)|radish
Best quality roots are obtained under moderate day lengths with air temperatures in the range 10 to 18 °C (50 to 65 °F)|radish
Under average conditions, the crop matures in 3–4 weeks, but in colder weather, 6–7 weeks may be required.Radishes grow best in full sun in light, sandy loams, with a soil pH 6.5 to 7.0, but for late-season crops, a clayey-loam is ideal|radish
Soils that bake dry and form a crust in dry weather are unsuitable and can impair germination|radish
Harvesting periods can be extended by making repeat plantings, spaced a week or two apart|radish
In warmer climates, radishes are normally planted in the autumn|radish
The depth at which seeds are planted affects the size of the root, from 1 cm (1⁄2 in) deep recommended for small radishes to 4 cm (1+1⁄2 in) for large radishes|radish
During the growing period, the crop needs to be thinned and weeds controlled, and irrigation may be required.|radish
Radishes are a common garden crop in many parts of the world, and the fast harvest cycle makes them particularly suitable for children's gardens|radish
After harvesting, radishes can be stored without loss of quality for two or three days at room temperature, and about two months at 0 °C (32 °F) with a relative humidity of 90–95%.|radish
Radishes can be useful as companion plants for many other crops, probably because their pungent odour deters such insect pests as aphids, cucumber beetles, tomato hornworms, squash bugs, and ants|radish
They can also function as a trap crop, luring insect pests away from the main crop|radish
Cucumbers and radishes seem to thrive when grown in close association with each other, and radishes also grow well with chervil, lettuce, peas, and nasturtiums|radish
However, they react adversely to growing in close association with hyssop.|radish
As a fast-growing plant, diseases are not generally a problem with radishes, but some insect pests can be a nuisance|radish
"The larvae of flea beetles (Delia radicum) live in the soil, but the adult beetles cause damage to the crop, biting small ""shot holes"" in the leaves, especially of seedlings"|radish
The swede midge (Contarinia nasturtii) attacks the foliage and growing tip of the plant and causes distortion, multiple (or no) growing tips, and swollen or crinkled leaves and stems|radish
The larvae of the cabbage root fly sometimes attack the roots|radish
The foliage droops and becomes discoloured, and small, white maggots tunnel through the root, making it unattractive or inedible.|radish
'Bunny Tail' is an heirloom variety from Italy, where it is known as Rosso Tondo A Piccola Punta Bianca|radish
It is slightly oblong, mostly red, with a white tip.|radish
'Cherry Belle' is a bright red-skinned round variety with a white interior|radish
It is familiar in North American supermarkets.|radish
'Sicily Giant' is a large heirloom variety from Sicily|radish
It can reach up to 5 cm (2 in) in diameter.|radish
'White Icicle' or 'Icicle' is a white carrot-shaped variety, around 10–12 cm (4–5 in) long, dating back to the 16th century|radish
It slices easily, and has better than average resistance to pithiness.|radish
'French Breakfast' is an elongated, red-skinned radish with a white splash at the root end|radish
It is typically slightly milder than other summer varieties, but is among the quickest to turn pithy.|radish
'Easter Egg' is not an actual variety, but a mix of varieties with different skin colors, typically including white, pink, red, and purple radishes|radish
Sold in markets or seed packets under the name, the seed mixes can extend harvesting duration from a single planting, as different varieties may mature at different times.|radish
'Black Spanish' or 'Black Spanish Round' occur in both round and elongated forms, and are sometimes simply called the black radish (Raphanus sativus L|radish
var|radish
niger (M.) S.K|radish
or L|radish
ssp|radish
niger (M.)|radish
D.C|radish
var|radish
albus D.C) or known by the French name Gros Noir d'Hiver|radish
It dates in Europe to 1548, and was a common garden variety in England and France during the early 19th century|radish
It has a rough, black skin with hot-flavored, white flesh, is round or irregularly pear shaped, and grows to around 10 cm (4 in) in diameter.Daikon refers to a wide variety of winter oilseed radishes from Asia|radish
While the Japanese name daikon has been adopted in English, it is also sometimes called the Japanese radish, Chinese radish, Oriental radish or mooli (in India and South Asia)|radish
Daikon commonly have elongated white roots, although many varieties of daikon exist|radish
One well-known variety is 'April Cross', with smooth white roots|radish
The New York Times describes 'Masato Red' and 'Masato Green' varieties as extremely long, well-suited for fall planting and winter storage|radish
The Sakurajima radish is a hot-flavored variety which is typically grown to around 10 kg (22 lb), but which can grow to 30 kg (66 lb) when left in the ground.Korean radish, also called mu(무), is a variety of white radish with firm crunchy texture|radish
Although mu is also a generic term for radishes in Korean (as daikon is a generic term for radishes in Japanese), the word is usually used in its narrow sense, referring to Joseon radish(조선무, Joseonmu)|radish
In Korean cuisine context, the word Joseon is often used in contrast to Wae, to distinguish Korean varieties from Japanese ones|radish
The longer, thinner, and waterier Japanese daikon cultivated mainly for danmuji is referred to as Wae radish(왜무, Waemu) in Korea|radish
Korean radishes are generally shorter, stouter, and sturdier than daikon, and have pale green shade halfway down from the top|radish
They also have stronger flavour, denser flesh and softer leaves|radish
The greens of Korean radishes are called mucheong(무청) and used as vegetable in various dishes.|radish
"The seeds of radishes grow in siliques (widely referred to as ""pods""), following flowering that happens when left to grow past their normal harvesting period"|radish
The seeds are edible, and are sometimes used as a crunchy, sharp addition to salads|radish
Some varieties are grown specifically for their seeds or seed pods, rather than their roots|radish
The rat-tailed radish, an old European variety thought to have come from East Asia centuries ago, has long, thin, curly pods which can exceed 20 cm (8 in) in length|radish
In the 17th century, the pods were often pickled and served with meat|radish
The 'München Bier' variety supplies seed pods that are sometimes served raw as an accompaniment to beer in Germany.|radish
In a 100-gram (3+1⁄2-ounce) reference serving, raw radishes provide 66 kilojoules (16 kilocalories) of food energy and have a moderate amount of vitamin C (18% of Daily Value), with other essential nutrients in low content (table)|radish
A raw radish is 95% water, 3% carbohydrates, 1% protein, and has negligible fat.|radish
The most commonly eaten portion is the napiform or fusiform taproot, although the entire plant is edible and the tops can be used as a leaf vegetable|radish
The seed can also be sprouted and eaten raw in a similar way to a mung bean.The root of the radish is usually eaten raw, although tougher specimens can be steamed|radish
The raw flesh has a crisp texture and a pungent, peppery flavor, caused by glucosinolates and the enzyme myrosinase, which combine when chewed to form allyl isothiocyanates, also present in mustard, horseradish, and wasabi.Radishes are mostly used in salads, but also appear in many European dishes|radish
In Mexican cuisine, sliced radishes are used in combination with shredded lettuce as garnish for traditional dishes such as tostadas, sopes, enchiladas and Posole stew.Radish greens are usually discarded, but are edible and nutritious, and can be prepared in a variety of ways|radish
The leaves are sometimes used in recipes, like potato soup or as a sauteed side dish|radish
"They are also found blended with fruit juices in some recipes.In Indian cuisine the seed pods are called ""moongra"" or ""mogri"" and can be used in many dishes."|radish
The seeds of radishes can be pressed to extract radish seed oil|radish
Wild radish seeds contain up to 48% oil, and while not suitable for human consumption, this oil is a potential source of biofuel|radish
"The daikon grows well in cool climates and, apart from its industrial use, can be used as a cover crop, grown to increase soil fertility, to scavenge nutrients, suppress weeds, help alleviate soil compaction, and prevent winter erosion of the soil.""Radi"", a spiral-cut radish that is sprinkled with salt and occasionally chives, and eaten with the fingers, is traditionally served with beer at the Bavarian Oktoberfest."|radish
The daikon varieties of radish are important parts of East, Southeast, and South Asian cuisine|radish
In Japan and Korea, radish dolls are sometimes made as children's toys|radish
Daikon is also one of the plants that make up the Japanese Festival of Seven Herbs (Nanakusa no sekku) on the seventh day after the new year.Citizens of Oaxaca, Mexico, celebrate the Night of the Radishes (Noche de los rábanos) on December 23 as a part of Christmas celebrations|radish
This folk art competition uses a large type of radish up to 50 cm (20 in) long and weighing up to 3 kg (7 lb)|radish
Great skill and ingenuity are used to carve these into religious and popular figures, buildings, and other objects, and they are displayed in the town square.|radish
Dixon, Geoffrey R|radish
(2007)|radish
Vegetable Brassicas and Related Crucifers (Print)|radish
Crop Production Science in Horticulture|radish
14|radish
Wallingford|radish
CAB International|radish
ISBN 978-1-84593-138-4.|radish
Biodiversity Heritage Library.org|radish
Discovered Bibliography − Raphanus sativus|radish
The carrot (Daucus carota subsp|carrot
sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist, all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia|carrot
The plant probably originated in Persia and was originally cultivated for its leaves and seeds|carrot
The most commonly eaten part of the plant is the taproot, although the stems and leaves are also eaten|carrot
The domestic carrot has been selectively bred for its greatly enlarged, more palatable, less woody-textured taproot.|carrot
The carrot is a biennial plant in the umbellifer family, Apiaceae|carrot
At first, it grows a rosette of leaves while building up the enlarged taproot|carrot
Fast-growing cultivars mature within three months (90 days) of sowing the seed, while slower-maturing cultivars need a month longer (120 days)|carrot
The roots contain high quantities of alpha- and beta-carotene, and are a good source of vitamin K and vitamin B6.|carrot
The United Nations Food and Agriculture Organization (FAO) reports that world production of carrots and turnips (these plants are combined by the FAO) for 2018 was 40 million tonnes, with 45% of the world total grown in China|carrot
Carrots are widely used in many cuisines, especially in the preparation of salads, and carrot salads are a tradition in many regional cuisines.|carrot
The word is first recorded in English circa 1530 and was borrowed from Middle French carotte, itself from Late Latin carōta, from ancient Greek καρωτόν karōtón), originally from the Proto-Indo-European root *ker- ('horn'), due to its horn-like shape|carrot
In Old English, carrots (typically white at the time) were not clearly distinguished from parsnips|carrot
the two were collectively called moru or more (from Proto-Indo-European *mork- 'edible root', cf|carrot
German Möhre or Russian морковь (morkov)).Various languages still use the same word for carrot as they do for root; e.g|carrot
Dutch wortel.|carrot
Both written history and molecular genetic studies indicate that the domestic carrot has a single origin in Central Asia|carrot
Its wild ancestors probably originated in Persia (regions of which are now Iran and Afghanistan), which remains the centre of diversity for the wild carrot Daucus carota|carrot
A naturally occurring subspecies of the wild carrot was presumably bred selectively over the centuries to reduce bitterness, increase sweetness and minimise the woody core; this process produced the familiar garden vegetable.When they were first cultivated, carrots were grown for their aromatic leaves and seeds rather than their roots|carrot
Carrot seeds have been found in Switzerland and Southern Germany dating back to 2000–3000 BC|carrot
Some close relatives of the carrot are still grown for their leaves and seeds, such as parsley, cilantro, coriander, fennel, anise, dill and cumin|carrot
The first mention of the root in classical sources is from the 1st century AD; the Romans ate a root vegetable called pastinaca, which may have been either the carrot or the closely related parsnip.The plant is depicted and described in the Eastern Roman Juliana Anicia Codex, a 6th-century AD Constantinopolitan copy of the Greek physician Dioscorides' 1st-century pharmacopoeia of herbs and medicines, De Materia Medica|carrot
"Three different types of carrots are depicted, and the text states that ""the root can be cooked and eaten"""|carrot
Another copy of this work, Codex Neapolitanes from late 6th or early 7th century, has basically the same illustrations but with roots in purple.The plant was introduced into Spain by the Moors in the 8th century|carrot
In the 10th century, roots from West Asia, India and Europe were purple|carrot
The modern carrot originated in Afghanistan at about this time|carrot
The 11th-century Jewish scholar Simeon Seth describes both red and yellow carrots, as does the 12th-century Arab-Andalusian agriculturist, Ibn al-'Awwam|carrot
Cultivated carrots appeared in China in the 12th century, and in Japan in the 16th or 17th century.There are many claims that Dutch growers created orange carrots in the 17th century to honor the Dutch flag at the time and William of Orange|carrot
Other authorities argue these claims lack convincing evidence|carrot
Modern carrots were described at about this time by the English antiquary John Aubrey (1626–1697)|carrot
"""Carrots were first sown at Beckington in Somersetshire"|carrot
"Some very old Man there [in 1668] did remember their first bringing hither."" European settlers introduced the carrot to colonial America in the 17th century.Outwardly purple carrots, still orange on the inside, were sold in British stores beginning in 2002."|carrot
Daucus carota is a biennial plant|carrot
In the first year, its rosette of leaves produces large amounts of sugars, which are stored in the taproot to provide energy for the plant to flower in the second year.|carrot
Soon after germination, carrot seedlings show a distinct demarcation between taproot and stem|carrot
the stem is thicker and lacks lateral roots|carrot
At the upper end of the stem is the seed leaf|carrot
The first true leaf appears about 10–15 days after germination|carrot
Subsequent leaves are alternate (with a single leaf attached to a node), spirally arranged, and pinnately compound, with leaf bases sheathing the stem|carrot
As the plant grows, the bases of the seed leaves, near the taproot, are pushed apart|carrot
The stem, located just above the ground, is compressed and the internodes are not distinct|carrot
When the seed stalk elongates for flowering, the tip of the stem narrows and becomes pointed, and the stem extends upward to become a highly branched inflorescence up to 60–200 cm (20–80 in) tall.Most of the taproot consists of a pulpy outer cortex (phloem) and an inner core (xylem)|carrot
High-quality carrots have a large proportion of cortex compared to core|carrot
Although a completely xylem-free carrot is not possible, some cultivars have small and deeply pigmented cores; the taproot can appear to lack a core when the colour of the cortex and core are similar in intensity|carrot
Taproots are typically long and conical, although cylindrical and nearly-spherical cultivars are available|carrot
The root diameter can range from 1 cm (3⁄8 in) to as much as 10 cm (4 in) at the widest part|carrot
The root length ranges from 5 to 50 cm (2 to 20 in), although most are between 10 and 25 cm (4 and 10 in).|carrot
Flower development begins when the flat meristem changes from producing leaves to an uplifted, conical meristem capable of producing stem elongation and a cluster of flowers|carrot
The cluster is a compound umbel, and each umbel contains several smaller umbels (umbellets)|carrot
The first (primary) umbel occurs at the end of the main floral stem; smaller secondary umbels grow from the main branch, and these further branch into third, fourth, and even later-flowering umbels.A large, primary umbel can contain up to 50 umbellets, each of which may have as many as 50 flowers; subsequent umbels have fewer flowers|carrot
Individual flowers are small and white, sometimes with a light green or yellow tint|carrot
They consist of five petals, five stamens, and an entire calyx|carrot
The stamens usually split and fall off before the stigma becomes receptive to receive pollen|carrot
The stamens of the brown, male, sterile flowers degenerate and shrivel before the flower fully opens|carrot
In the other type of male sterile flower, the stamens are replaced by petals, and these petals do not fall off|carrot
A nectar-containing disc is present on the upper surface of the carpels.|carrot
Flowers change sex in their development, so the stamens release their pollen before the stigma of the same flower is receptive|carrot
The arrangement is centripetal, meaning the oldest flowers are near the edge and the youngest flowers are in the center|carrot
Flowers usually first open at the outer edge of the primary umbel, followed about a week later on the secondary umbels, and then in subsequent weeks in higher-order umbels.The usual flowering period of individual umbels is 7 to 10 days, so a plant can be in the process of flowering for 30–50 days|carrot
The distinctive umbels and floral nectaries attract pollinating insects|carrot
After fertilization and as seeds develop, the outer umbellets of an umbel bend inward causing the umbel shape to change from slightly convex or fairly flat to concave, and when cupped it resembles a bird's nest.|carrot
The fruit that develops is a schizocarp consisting of two mericarps; each mericarp is a true seed|carrot
The paired mericarps are easily separated when they are dry|carrot
Premature separation (shattering) before harvest is undesirable because it can result in seed loss|carrot
Mature seeds are flattened on the commissural side that faced the septum of the ovary|carrot
The flattened side has five longitudinal ribs|carrot
The bristly hairs that protrude from some ribs are usually removed by abrasion during milling and cleaning|carrot
Seeds also contain oil ducts and canals|carrot
Seeds vary somewhat in size, ranging from less than 500 to more than 1000 seeds per gram.The carrot is a diploid species, and has nine relatively short, uniform-length chromosomes (2n=18)|carrot
The genome size is estimated to be 473 mega base pairs, which is four times larger than Arabidopsis thaliana, one-fifth the size of the maize genome, and about the same size as the rice genome.|carrot
Polyacetylenes can be found in Apiaceae vegetables like carrots where they show cytotoxic activities|carrot
Falcarinol and falcarindiol (cis-heptadeca-1,9-diene-4,6-diyne-3,8-diol) are such compounds|carrot
This latter compound shows antifungal activity towards Mycocentrospora acerina and Cladosporium cladosporioides|carrot
Falcarindiol is the main compound responsible for bitterness in carrots.Other compounds such as pyrrolidine (present in the leaves), 6-hydroxymellein, 6-methoxymellein, eugenin, 2,4,5-trimethoxybenzaldehyde (gazarin) or (Z)-3-acetoxy-heptadeca-1,9-diene-4,6-diin-8-ol (falcarindiol 3-acetate) can also be found in carrot.|carrot
Carrots are grown from seed and can take up to four months (120 days) to mature, but most cultivars mature within 70 to 80 days under the right conditions|carrot
They grow best in full sun but tolerate some shade|carrot
The optimum temperature is 16 to 21 °C (61 to 70 °F)|carrot
The ideal soil is deep, loose and well-drained, sandy or loamy, with a pH of 6.3 to 6.8.Fertilizer should be applied according to soil type because the crop requires low levels of nitrogen, moderate phosphate and high potash|carrot
Rich or rocky soils should be avoided, as these will cause the roots to become hairy and/or misshapen|carrot
Irrigation is applied when needed to keep the soil moist|carrot
After sprouting, the crop is eventually thinned to a spacing of 8 to 10 cm (3 to 4 in) and weeded to prevent competition beneath the soil.|carrot
There are several diseases that can reduce the yield and market value of carrots|carrot
The most devastating carrot disease is Alternaria leaf blight, which has been known to eradicate entire crops|carrot
A bacterial leaf blight caused by Xanthomonas campestris can also be destructive in warm, humid areas|carrot
Root knot nematodes (Meloidogyne species) can cause stubby or forked roots, or galls|carrot
Cavity spot, caused by the oomycetes Pythium violae and Pythium sulcatum, results in irregularly shaped, depressed lesions on the taproots.Physical damage can also reduce the value of carrot crops|carrot
The two main forms of damage are splitting, whereby a longitudinal crack develops during growth that can be a few centimetres to the entire length of the root, and breaking, which occurs postharvest|carrot
These disorders can affect over 30% of commercial crops|carrot
Factors associated with high levels of splitting include wide plant spacing, early sowing, lengthy growth durations, and genotype.|carrot
Carrots benefit from strongly scented companion plants|carrot
The pungent odour of onions, leeks and chives help repel the carrot root fly, and other vegetables that team well with carrots include lettuce, tomatoes and radishes, as well as the herbs rosemary and sage|carrot
Carrots thrive in the presence of caraway, coriander, chamomile, marigold and Swan River daisy|carrot
They can also be good companions for other plants; if left to flower, the carrot, like any umbellifer, attracts predatory wasps that kill many garden pests.|carrot
Carrot cultivars can be grouped into two broad classes, eastern carrots and western carrots|carrot
"A number of novelty cultivars have been bred for particular characteristics.""Eastern"" (a European and American continent reference) carrots were domesticated in Persia (probably in the lands of modern-day Iran and Afghanistan within West Asia) during the 10th century, or possibly earlier"|carrot
"Specimens of the ""eastern"" carrot that survive to the present day are commonly purple or yellow, and often have branched roots"|carrot
The purple colour common in these carrots comes from anthocyanin pigments.The western carrot emerged in the Netherlands in the 17th century|carrot
There is a popular belief that its orange colour making it popular in those countries as an emblem of the House of Orange and the struggle for Dutch independence, although there is little evidence for this|carrot
The orange colour results from abundant carotenes in these cultivars.|carrot
Western carrot cultivars are commonly classified by their root shape|carrot
The four general types are:|carrot
Chantenay carrots|carrot
Although the roots are shorter than other cultivars, they have vigorous foliage and greater girth, being broad in the shoulders and tapering towards a blunt, rounded tip|carrot
They store well, have a pale-coloured core and are mostly used for processing|carrot
Cultivars include 'Carson Hybrid' and 'Red Cored Chantenay'.|carrot
Danvers carrots|carrot
These have strong foliage and the roots are longer than Chantenay types, and they have a conical shape with a well-defined shoulder, tapering to a point|carrot
They are somewhat shorter than Imperator cultivars, but more tolerant of heavy soil conditions|carrot
Danvers cultivars store well and are used both fresh and for processing|carrot
They were developed in 1871 in Danvers, Massachusetts|carrot
Cultivars include 'Danvers Half Long' and 'Danvers 126'.|carrot
Imperator carrots|carrot
This cultivar has vigorous foliage, is of high sugar content, and has long and slender roots, tapering to a pointed tip|carrot
Imperator types are the most widely cultivated by commercial growers|carrot
Cultivars include 'Imperator 58' and 'Sugarsnax Hybrid'.|carrot
Nantes carrots|carrot
These have sparse foliage, are cylindrical, short with a more blunt tip than Imperator types, and attain high yields in a range of conditions|carrot
The skin is easily damaged and the core is deeply pigmented|carrot
They are brittle, high in sugar and store less well than other types|carrot
Cultivars include 'Nelson Hybrid', 'Scarlet Nantes' and 'Sweetness Hybrid'.Carrot breeding programs have developed new cultivars to have dense amounts of chemically-stable acylated pigments, such as anthocyanins, which enrich carrot color based on the density and types of anthocyanin to produce different carrot colors|carrot
One particular cultivar lacks the usual orange pigment due to carotene, owing its white colour to a recessive gene for tocopherol (vitamin E), but this cultivar and wild carrots do not provide nutritionally significant amounts of vitamin E.|carrot
In 2018, world production of carrots (combined with turnips) was 40 million tonnes, with China producing 45% of the world total (table)|carrot
Other major producers were the United States, Uzbekistan, and Russia.|carrot
Carrots can be stored for several months in the refrigerator or over winter in a moist, cool place|carrot
For long term storage, unwashed carrots can be placed in a bucket between layers of sand, a 50/50 mix of sand and wood shavings, or in soil|carrot
A temperature range of 0 to 4 °C (32 to 40 °F) and 98% humidity is best.|carrot
Carrots can be eaten in a variety of ways|carrot
Only 3 percent of the β-carotene in raw carrots is released during digestion|carrot
this can be improved to 39% by pulping, cooking and adding cooking oil|carrot
Alternatively they may be chopped and boiled, fried or steamed, and cooked in soups and stews, as well as baby and pet foods|carrot
A well-known dish is carrots julienne|carrot
Together with onion and celery, carrots are one of the primary vegetables used in a mirepoix to make various broths.The greens are edible as a leaf vegetable, but are rarely eaten by humans; some sources suggest that the greens contain toxic alkaloids|carrot
When used for this purpose, they are harvested young in high-density plantings, before significant root development, and typically used stir-fried, or in salads|carrot
Some people are allergic to carrots|carrot
In a 2010 study on the prevalence of food allergies in Europe, 3.6 percent of young adults showed some degree of sensitivity to carrots|carrot
Because the major carrot allergen, the protein Dauc c 1.0104, is cross-reactive with homologues in birch pollen (Bet v 1) and mugwort pollen (Art v 1), most carrot allergy sufferers are also allergic to pollen from these plants.In India carrots are used in a variety of ways, as salads or as vegetables added to spicy rice or dal dishes|carrot
A popular variation in north India is the Gajar Ka Halwa carrot dessert, which has carrots grated and cooked in milk until the whole mixture is solid, after which nuts and butter are added|carrot
Carrot salads are usually made with grated carrots with a seasoning of mustard seeds and green chillies popped in hot oil|carrot
Carrots can also be cut in thin strips and added to rice, can form part of a dish of mixed roast vegetables or can be blended with tamarind to make chutney.Since the late 1980s, baby carrots or mini-carrots (carrots that have been peeled and cut into uniform cylinders) have been a popular ready-to-eat snack food available in many supermarkets|carrot
Carrots are puréed and used as baby food, dehydrated to make chips, flakes, and powder, and thinly sliced and deep-fried, like potato chips.The sweetness of carrots allows the vegetable to be used in some fruit-like roles|carrot
Grated carrots are used in carrot cakes, as well as carrot puddings, an English dish thought to have originated in the early 19th century|carrot
Carrots can also be used alone or blended with fruits in jams and preserves|carrot
Carrot juice is also widely marketed, especially as a health drink, either stand-alone or blended with juices extracted from fruits and other vegetables.Highly excessive consumption over a period of time can result in carotenemia, a yellow-orange discoloration of the skin caused by a build up of carotenoids.|carrot
Raw carrots are 88% water, 9% carbohydrates, 0.9% protein, 2.8% dietary fiber, 1% ash and 0.2% fat|carrot
Carrot dietary fiber comprises mostly cellulose, with smaller proportions of hemicellulose, lignin and starch|carrot
Free sugars in carrot include sucrose, glucose, and fructose.The carrot gets its characteristic, bright orange colour from β-carotene, and lesser amounts of α-carotene, γ-carotene, lutein, and zeaxanthin|carrot
α- and β-carotenes are partly metabolized into vitamin A, providing more than 100% of the Daily Value (DV) per 100 g serving of carrots (right table)|carrot
Carrots are also a good source of vitamin K (13% DV) and vitamin B6 (11% DV), but otherwise have modest content of other essential nutrients (table).|carrot
The provitamin A beta-carotene from carrots does not actually help people to see in the dark unless they suffer from vitamin A deficiency|carrot
This myth was propaganda used by the Royal Air Force during the Second World War to explain why their pilots had improved success during night air battles, but was actually used to disguise advances in radar technology and the use of red lights on instrument panels.Nevertheless, the consumption of carrots was advocated in Britain at the time as part of a Dig for Victory campaign|carrot
A radio programme called The Kitchen Front encouraged people to grow, store and use carrots in various novel ways, including making carrot jam and Woolton pie, named after the Lord Woolton, the Minister for Food|carrot
The British public during WWII generally believed that eating carrots would help them see better at night and in 1942 there was a 100,000-ton surplus of carrots from the extra production.|carrot
Lettuce (Lactuca sativa) is an annual plant of the daisy family, Asteraceae|lettuce
It is most often grown as a leaf vegetable, but sometimes for its stem and seeds|lettuce
Lettuce is most often used for salads, although it is also seen in other kinds of food, such as soups, sandwiches and wraps; it can also be grilled|lettuce
One variety, the celtuce (asparagus lettuce), is grown for its stems, which are eaten either raw or cooked|lettuce
In addition to its main use as a leafy green, it has also gathered religious and medicinal significance over centuries of human consumption|lettuce
Europe and North America originally dominated the market for lettuce, but by the late 20th century the consumption of lettuce had spread throughout the world|lettuce
As of 2017, world production of lettuce and chicory was 27 million tonnes, 56% of which came from China.Lettuce was originally farmed by the ancient Egyptians, who transformed it from a plant whose seeds were used to obtain oil into an important food crop raised for its succulent leaves and oil-rich seeds|lettuce
Lettuce spread to the Greeks and Romans; the latter gave it the name lactuca, from which the English lettuce is derived|lettuce
By 50 AD, many types were described, and lettuce appeared often in medieval writings, including several herbals|lettuce
The 16th through 18th centuries saw the development of many varieties in Europe, and by the mid-18th century, cultivars were described that can still be found in gardens.|lettuce
Generally grown as a hardy annual, lettuce is easily cultivated, although it requires relatively low temperatures to prevent it from flowering quickly|lettuce
It can be plagued by numerous nutrient deficiencies, as well as insect and mammal pests, and fungal and bacterial diseases|lettuce
L|lettuce
sativa crosses easily within the species and with some other species within the genus Lactuca|lettuce
Although this trait can be a problem to home gardeners who attempt to save seeds, biologists have used it to broaden the gene pool of cultivated lettuce varieties.|lettuce
Lettuce is a rich source of vitamin K and vitamin A, and a moderate source of folate and iron|lettuce
Contaminated lettuce is often a source of bacterial, viral, and parasitic outbreaks in humans, including E|lettuce
coli and Salmonella.|lettuce
Lactuca sativa is a member of the Lactuca (lettuce) genus and the Asteraceae (sunflower or aster) family|lettuce
The species was first described in 1753 by Carl Linnaeus in the second volume of his Species Plantarum|lettuce
Synonyms for L|lettuce
sativa include Lactuca scariola var|lettuce
sativa, L|lettuce
scariola var|lettuce
integrata and L|lettuce
scariola var|lettuce
integrifolia|lettuce
L|lettuce
scariola is itself a synonym for L|lettuce
serriola, the common wild or prickly lettuce|lettuce
L|lettuce
sativa also has many identified taxonomic groups, subspecies and varieties, which delineate the various cultivar groups of domesticated lettuce|lettuce
Lettuce is closely related to several Lactuca species from southwest Asia; the closest relationship is to L|lettuce
"serriola, an aggressive weed common in temperate and subtropical zones in much of the world.The Romans referred to lettuce as lactuca (lac meaning ""dairy"" in Latin), an allusion to the white substance, latex, exuded by cut stems"|lettuce
"The name Lactuca has become the genus name, while sativa (meaning ""sown"" or ""cultivated"") was added to create the species name"|lettuce
The current word lettuce, originally from Middle English, came from the Old French letues or laitues, which derived from the Roman name|lettuce
The name romaine came from the variety of lettuce grown in the Roman papal gardens, while cos, another term for romaine lettuce, came from the earliest European seeds of the type from the Greek island of Kos, a center of lettuce farming in the Byzantine period.|lettuce
Lettuce's native range spreads from the Mediterranean to Siberia, although it has been transported to almost all areas of the world|lettuce
Plants generally have a height and spread of 15 to 30 cm (6 to 12 in)|lettuce
The leaves are colorful, mainly in the green and red color spectrums, with some variegated varieties|lettuce
There are also a few varieties with yellow, gold or blue-teal leaves.Lettuces have a wide range of shapes and textures, from the dense heads of the iceberg type to the notched, scalloped, frilly or ruffly leaves of leaf varieties|lettuce
Lettuce plants have a root system that includes a main taproot and smaller secondary roots|lettuce
Some varieties, especially those found in the United States and Western Europe, have long, narrow taproots and a small set of secondary roots|lettuce
Longer taproots and more extensive secondary systems are found in varieties from Asia.Depending on the variety and time of year, lettuce generally lives 65–130 days from planting to harvesting|lettuce
"Because lettuce that flowers (through the process known as ""bolting"") becomes bitter and unsaleable, plants grown for consumption are rarely allowed to grow to maturity"|lettuce
Lettuce flowers more quickly in hot temperatures, while freezing temperatures cause slower growth and sometimes damage to outer leaves.Once plants move past the edible stage, they develop flower stalks up to 1 m (3 ft 3 in) high with small yellow blossoms|lettuce
